alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
raft,6,666.7,48.8,983039,1154047,1288191,1_1_1_1_1_1,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,1333.3,22.4,2201599,2383871,2500607,1_1_1_1_1_1,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,2000.0,15.0,3309567,3364863,3997695,1_1_1_1_1_1,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1.3,1676.3,12887,96127,98367,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,6.7,1421.9,32719,60479,69695,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,13.3,1386.5,32463,67135,69567,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,66.7,959.0,46815,74111,78847,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,133.3,702.6,67007,97919,112511,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,666.7,176.2,274175,343039,392191,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1333.3,85.7,502527,950271,1163263,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,2000.0,56.1,709631,1702911,1836031,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1.3,1226.5,40447,43199,44799,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,6.7,1100.3,45151,47871,52479,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,13.3,978.4,50623,52767,53951,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,66.7,497.4,97343,106943,121087,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,133.3,309.0,157183,171007,178943,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,58.5,841215,866815,880127,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1333.3,26.8,1832959,1945599,2080767,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,17.1,2770943,3438591,5238783,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,1.3,1485.5,28575,72447,75007,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,6.7,1323.1,42047,51647,53599,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,13.3,1117.6,40671,86207,90239,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,66.7,550.8,81343,130879,136575,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,133.3,320.8,145279,223871,287487,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,666.7,56.2,792063,1219583,1530879,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,1333.3,26.8,1905663,2465791,3043327,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,2000.0,16.7,2525183,6070271,6610943,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,1.3,1485.9,33279,36479,36991,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,6.7,1251.3,39263,43711,44799,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,13.3,1122.6,43743,49695,50943,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,66.7,443.2,110527,117247,137343,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,133.3,272.2,179455,191999,305919,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,666.7,50.2,969215,1095679,1272831,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,1333.3,25.3,1944575,2044927,2459647,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,2000.0,16.1,3012607,3297279,3903487,5_5_5_5_5_5,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1.3,1739.9,25759,61983,63423,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,6.7,1472.7,32191,46847,49567,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,13.3,1414.7,35743,56479,58591,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,66.7,951.1,49759,71423,75263,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,133.3,704.3,65023,111103,126015,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,666.7,192.9,239615,376575,444671,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1333.3,88.0,550399,839679,948735,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,2000.0,58.6,852479,1149951,1200127,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1.3,1246.3,40095,42655,43455,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,6.7,1102.1,45055,47263,51775,10_10_10_10_10_10,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
