alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
racos310,14,666.7,344.0,25455,534527,690687,0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos310,14,666.7,350.8,55743,525823,757247,0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos310,14,666.7,105.6,322047,902655,924159,0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos38,12,666.7,347.6,24879,532991,801279,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos38,12,666.7,340.6,66943,433407,521727,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos38,12,666.7,111.2,83455,894975,925183,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
rabia,12,666.7,114.4,364287,886783,1024511,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
raft,12,666.7,95.2,300799,1386495,3211263,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos36,10,666.7,364.1,24959,386559,571391,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos36,10,666.7,345.4,75071,520959,641535,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos36,10,666.7,109.9,252799,876031,903167,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
rabia,10,666.7,109.0,323327,1293311,1928191,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
raft,10,666.7,87.0,289535,1545215,3164159,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
rabia,8,666.7,112.9,322047,1218559,1317887,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
raft,8,666.7,96.4,335871,1513471,2316287,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
