alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
racos34,8,1.3,3043.7,2009,39519,190719,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos34,8,1.3,2303.4,20799,27711,31247,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos34,8,1.3,2391.4,4491,43135,46847,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos52,8,1.3,3183.4,2079,39295,191871,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos52,8,1.3,2263.9,21151,27231,30271,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos52,8,1.3,2439.5,4375,42175,44991,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0,100_100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos42,7,1.3,3269.5,2235,59231,136191,0_0_0_0_0_0_0,0_0_0_0_0_0_0,0_0_0_0_0_0_0,100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2
tracos42,7,1.3,2518.4,19183,24591,27695,0_0_0_0_0_0_0,0_0_0_0_0_0_0,0_0_0_0_0_0_0,100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2
paxos42,7,1.3,2357.6,8711,43103,45471,0_0_0_0_0_0_0,0_0_0_0_0_0_0,0_0_0_0_0_0_0,100_100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1.3,3182.4,2173,100031,135679,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,1.3,2897.7,16799,21743,25183,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1.3,2415.7,4179,42719,45311,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,6,1.3,2807.4,12151,58847,73535,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,6,1.3,2697.1,15527,39967,57887,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
rabia,4,1.3,2697.2,6335,51359,55295,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1.3,2713.4,17087,32639,42591,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
