alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
paxos,6,66.7,5323.9,8895,13447,17935,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,133.3,3227.8,14583,22463,29423,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,761.6,60511,98047,232191,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1333.3,380.0,121343,195327,337407,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,271.5,168959,270079,423167,0_0_0_0_0_0,2_2_2_2_2_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1.3,8608.1,1471,4315,202751,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,6.7,6950.9,2028,6419,206847,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,13.3,11647.4,2765,6863,11263,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,66.7,5780.1,5579,15719,28847,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,133.3,4505.5,8671,16231,31679,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,666.7,1519.7,27839,44159,128767,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1333.3,769.6,57695,94015,180735,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,2000.0,499.2,84927,148991,358655,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,1.3,1209.7,16559,225919,230399,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,6.7,995.2,16991,227071,231423,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,13.3,942.4,16863,227455,230655,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,66.7,851.0,18319,228991,432895,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,133.3,1149.3,19887,229759,238847,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,666.7,740.8,36223,244479,264191,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,1333.3,547.9,64223,258047,334591,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,2000.0,341.3,102527,318463,482815,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1.3,16921.0,2461,6463,9767,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,6.7,15023.9,2863,6191,9015,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,13.3,12195.1,3587,7203,10127,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,66.7,5361.5,8775,13159,18575,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,133.3,3309.3,14367,21791,29263,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,797.6,57759,93439,142207,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1333.3,393.7,112575,182143,423935,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,2000.0,274.7,154879,266751,442879,0_0_0_0_0_0,0.01_0.01_0.01_0.01_0.01_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
raft,4,1.3,14670.6,2921,6663,10711,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,6.7,11925.6,3743,7591,10375,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,13.3,10110.1,4367,8951,11687,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,66.7,4836.0,8855,19311,25631,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,133.3,2915.3,14407,32223,46143,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,666.7,712.3,58591,146175,188671,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1333.3,338.9,121151,296191,418047,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,2000.0,207.1,190463,511231,781823,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,1.3,2712.4,10527,15255,220287,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,6.7,3124.1,10103,13759,219775,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,13.3,2871.8,10407,15423,220287,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,66.7,2635.7,11695,18799,221823,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,133.3,1977.6,13367,36575,229375,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,666.7,751.3,51743,127871,259455,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,1333.3,378.0,108799,272895,346111,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,2000.0,306.4,147327,314111,381439,0_0_0_0,0.01_0.01_0.01_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
