alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
raft,4,133.3,545.0,84159,157823,185215,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,666.7,91.2,490239,958463,1138687,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1333.3,48.6,941055,1729535,2045951,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,2000.0,33.4,1341439,2453503,2809855,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
racos,6,1.3,19.5,1034239,5439487,5910527,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,6.7,16.6,17359,6569983,7208959,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,13.3,18.8,207999,5951487,6356991,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,66.7,16.8,1056767,6590463,7065599,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,133.3,17.7,1682431,6119423,6524927,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,666.7,20.3,105535,5566463,6381567,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,1333.3,17.8,1046527,5971967,6303743,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,2000.0,18.3,179967,6377471,7004159,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,1.3,2975.1,16447,20479,22607,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,6.7,2683.5,16895,26015,28047,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,13.3,2322.8,14103,63231,72703,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,66.7,1473.1,20767,106239,125375,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,133.3,1279.1,35551,55263,59903,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,666.7,383.2,118015,173055,191743,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,1333.3,156.3,310783,451583,495103,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
tracos,6,2000.0,101.1,451583,735231,873983,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1.3,2267.1,9887,42591,43391,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,6.7,1906.8,16943,48191,49599,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,13.3,1806.1,9999,55423,57119,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,66.7,936.4,15023,104767,107775,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,133.3,550.9,63679,166911,171263,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,666.7,108.7,86271,923647,943103,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
paxos,6,1333.3,53.5,134271,1902591,1952767,0_0_0_0_0_0,2_2_2_2_2_2,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
